2469,4,1,"",Sector 63,28.622244,77.38264,11000,5500
2701,5,1,Saroj House,Sector 57,28.60296,77.3519,20000,18000
2410,4,1,"",Sector 18,28.569046,77.32393,2600,1300
2083,6,1,"",Sector 10,28.586971,77.33124,29000,8000
954,13,1,AMR Manthan - Tower B,Tech Zone,28.397614,77.51286,707000,657000
2073,6,1,"",Sector 67,28.60677,77.381134,27000,27000
766,9,1,KLJ Noida One - Tower B,Sector 62,28.622946,77.36609,200000,45000
3574,25,1,Lotus Isle - Tower D,Sector 98,28.53502,77.35972,440000,440000
2017,3,1,"",Sector 22,28.59901,77.34518,8400,1800
3515,9,1,"",Sector 136,28.545832,77.3268,68000,60385
3587,7,1,"",Sector 2,28.583399,77.31542,30000,28200
2027,5,1,"",Sector 10,28.59053,77.33579,22500,22500
2638,4,1,"",Sector 63,28.626354,77.37812,14800,14800
2090,5,1,"",Sector 10,28.593405,77.33258,27500,27500
3484,15,1,"",Sector 127,28.533937,77.348236,260400,260400
821,19,1,DAH Greentech NX Byte - IT Tower 4,Tech Zone IV,28.601854,77.43343,430000,425100
2093,3,1,"",Sector 8,28.594906,77.330185,16800,5600
3970,5,1,"",Sector 59,28.608805,77.36726,82500,16500
2080,5,1,"",Sector 9,28.586254,77.33026,30000,4450
932,8,1,Logix Technova Tower A,Sector 132,28.507862,77.37967,450000,8500
748,3,1,IHDP Business Park Studio Block 1,Sector 127,28.53439,77.347336,70000,4500
2133,6,1,Samparsh,Sector 4,28.583008,77.32044,30000,5000
866,3,1,Airwil Aurum - Wing A,Sector 135,28.501541,77.39922,48000,48000
947,10,1,Express Trade Tower 2 - Wing A,Sector 132,28.511875,77.37572,250000,31500
3904,10,1,Discovery Tower,Sector 62,28.620764,77.36393,235000,235200
2043,5,1,"",Sector 10,28.588428,77.33246,6000,1800
1940,4,1,"",Sector 67,28.605566,77.38139,9600,2400
2026,4,1,"",Sector 22,28.599018,77.34578,28000,22700
2136,5,1,"",Sector 16,28.579502,77.315575,15000,15000
767,9,1,KLJ Noida One - Tower A,Sector 62,28.622984,77.36601,198000,198000
1946,5,1,"",Sector 63,28.625423,77.37716,45000,9000
2077,4,1,"",Sector 18,28.572128,77.323425,4200,4132
2458,4,1,"",Sector 65,28.61374,77.38795,20000,5000
2095,5,1,"",Sector 9,28.585054,77.32775,25000,25000
2085,3,1,"",Sector 9,28.585392,77.324326,9600,3000
963,10,1,Urbtech Trade Centre Tower 3,Sector 132,28.51464,77.37666,250000,250000
3512,9,1,"",Sector 135,28.50462,77.40278,90000,90000
2021,5,1,Nagar Complex,Sector 11,28.59685,77.33038,30000,2000
3046,4,1,"",Sector 16,28.579397,77.31474,12600,12600
1934,4,1,"",Sector 63,28.624285,77.37882,40000,16500
263,4,1,"",Udyog Marg,28.592312,77.320854,16000,16000
631,7,1,Stellar IT Park - Tower 2,Sector 62,28.6129,77.36241,169200,6000
1866,4,1,"",Sector 58,28.610716,77.354034,8000,4000
2020,4,1,"",Sector 10,28.592184,77.333755,7200,5400
3477,10,1,"",Sector 125,28.543793,77.33101,57000,51300
2132,4,1,"",Sector 4,28.582994,77.32569,20000,20000
545,6,1,"",Sector 63,28.63115,77.38221,60500,59500
747,9,1,IHDP Business Park Tower Block,Sector 127,28.534374,77.34734,350000,90000
2072,4,1,"",Sector 67,28.60735,77.380974,17500,17500
2862,8,1,Express Trade Tower 2 - Wing D,Sector 132,28.514715,77.37782,200000,90000
2031,4,1,"",Sector 10,28.591696,77.33317,6200,3200
867,3,1,Airwil Aurum - Wing B,Sector 135,28.501577,77.39912,48000,48000
2035,3,1,"",Sector 10,28.59252,77.333374,2800,1000
2467,6,1,"",Sector 57,28.602661,77.354034,15000,14400
643,6,1,Wegmans Business Park - Tower 1,Knowledge Park III,28.493002,77.488785,300000,60000
2477,5,1,"",Sector 63,28.628733,77.37712,13000,13000
2661,2,1,Brookfield InfoSpace - Amenity 2,Sector 62,28.62119,77.35674,15000,15000
1944,5,1,"",Sector 63,28.626217,77.37963,25000,25000
2456,4,1,"",Sector 64,28.611332,77.37493,16000,6000
2082,5,1,"",Sector 10,28.58692,77.33092,20000,3600
1790,10,1,"",Sector 127,28.533037,77.352936,42000,29400
2099,3,1,Janak,Sector 4,28.58291,77.32419,6200,2200
2018,5,1,"",Sector 10,28.590996,77.33544,13625,2725
2089,4,1,"",Sector 10,28.587423,77.33052,7400,1850
3739,3,1,"",Sector 65,28.612223,77.389206,7500,2500
2409,4,1,Shivam Chamber,Sector 41,28.56146,77.36037,4000,2000
1942,4,1,"",Sector 63,28.628223,77.38039,20000,10000
1958,5,1,"",Sector 63,28.626284,77.38003,26500,26500
2088,5,1,"",Sector 10,28.58876,77.33185,9900,4200
2024,4,1,"",Sector 10,28.588505,77.333374,18000,4500
2078,4,1,"",Sector 18,28.572063,77.323494,4500,4400
2640,11,1,Brookfield InfoSpace - Tower 1,Sector 62,28.620512,77.35652,279730,8357
2472,4,1,"",Sector 63,28.619802,77.385704,12000,9000
2094,4,1,"",Sector 9,28.585037,77.32858,22000,22000
2019,2,1,"",Sector 10,28.591244,77.33287,2400,1200
2075,5,1,"",Sector 18,28.572115,77.32344,5000,5000
722,8,1,The Corenthum Tower A,Sector 62,28.626509,77.37365,250000,32000
3807,4,1,"",Sector 59,28.607471,77.36823,18000,18000
2032,4,1,"",Sector 10,28.59162,77.33338,14800,5550
3014,4,1,"",Sector 63,28.615482,77.389984,6400,3200
3405,7,1,Tapasya CorpHeights,Sector 126,28.540806,77.34164,217000,87000
2041,4,1,"",Sector 10,28.589088,77.333015,8800,1500
2626,4,1,"",Sector 63,28.631021,77.3774,30000,15000
2081,4,1,"",Sector 10,28.586754,77.330765,20000,4500
2034,3,1,"",Sector 10,28.592478,77.333595,4500,1200
2476,3,1,"",Sector 63,28.6287,77.3776,7950,2650
1870,3,1,"",Sector 63,28.628504,77.37572,6300,6300
1945,4,1,"",Sector 63,28.629576,77.37693,42000,5000
2510,5,1,"",Sector 63,28.627895,77.37623,13800,3800
2873,4,1,"",Sector 63,28.625051,77.38332,6000,1500
2084,3,1,"",Sector 10,28.59099,77.32928,13800,4600
1931,3,1,Venus Shopping Mall,Sector 63,28.625996,77.375336,37500,37500
3295,3,1,"",Sector 9,28.585302,77.32544,9600,9600
3967,3,1,"",Sector 63,28.62664,77.3848,100000,99000
1947,3,1,"",Sector 63,28.628649,77.37835,15000,0
1008,7,1,Okaya Business Centre Tower 4,Sector 62,28.622984,77.36113,168000,0
1159,8,1,WTC TEC 2,Tech Zone I,28.386677,77.51621,270000,0
2044,3,1,"",Sector 10,28.592161,77.33373,3600,0
1932,4,1,Radhey,Sector 67,28.6071,77.38315,16000,0
2674,12,1,Brookfield InfoSpace - Tower 10,Sector 135,28.498674,77.40377,260074,0
4078,8,1,Prasandi IT Square Tower B,Knowledge Park III,28.480944,77.481094,220000,0
620,12,1,Assotech Business Cresterra - Tower 1,Sector 135,28.495693,77.40312,250000,0
926,11,1,Logix Cyber Park Tower 3,Sector 62,28.612467,77.36573,247000,0
2650,13,1,Brookfield InfoSpace - Tower 2,Sector 62,28.62142,77.35556,389901,0
924,11,1,Logix Cyber Park Tower 2,Sector 62,28.612476,77.36573,247000,0
