roadid,lat,lon,lat.1,lon.1
2966,28.4192827,77.3171917,28.4185909,77.3169753
2967,28.4180522,77.3174978,28.418617,77.3174529
2980,28.4888602,77.3041025,28.4959958,77.302617
2981,28.4159316,77.3178638,28.4159028,77.317391
2986,28.3580559,77.3400606,28.4208888,77.3292691
2990,28.3926424,77.305734,28.4069713,77.3047437
2992,28.407018,77.3046569,28.3924409,77.3017554
2993,28.4072494,77.3050755,28.4072494,77.3050755
2995,28.4092712,77.3062213,28.4072494,77.3050755
2996,28.4006327,77.2983521,28.4007181,77.2981095
2999,28.4009468,77.2984197,28.3893246,77.2905285
3000,28.4021829,77.2935109,28.3974449,77.2883208
3004,28.3944584,77.2864604,28.4034239,77.2775094
3006,28.4030883,77.277762,28.4032373,77.2772876
3007,28.4033706,77.2776078,28.4018601,77.272604
3010,28.4053361,77.2805057,28.4033706,77.2776078
3015,28.4145266,77.2838971,28.4148295,77.2830807
3018,28.4146468,77.283561,28.4144876,77.2831351
3020,28.4464855,77.2807604,28.4466456,77.2802724
3022,28.5092863,77.2991587,28.5349553,77.2854779
3024,28.5114347,77.2980842,28.5126648,77.297775
3025,28.5002853,77.3154951,28.5002541,77.3149606
3027,28.5002436,77.3147815,28.5002203,77.3143818
3030,28.5002541,77.3149606,28.5002436,77.3147815
3031,28.500441,77.3162848,28.5002853,77.3154951
3032,28.4974448,77.3027698,28.497015,77.3025978
3035,28.5002203,77.3143818,28.5000891,77.3103289
3043,28.5318589,77.2958546,28.5275489,77.2897615
3053,28.4893869,77.2865845,28.4893869,77.2865845
3055,28.6457514,77.2687413,28.664628,77.254697
3057,28.6415431,77.2691339,28.6457514,77.2687413
3063,28.6405234,77.3017911,28.6441201,77.2985299
3066,28.6515305,77.2525989,28.6523669,77.2515019
3067,28.6359176,77.2562458,28.6577947,77.248402
3068,28.6435414,77.2687889,28.6452976,77.2684538
3069,28.6473484,77.2687389,28.6468483,77.2685841
3070,28.648451,77.2531101,28.6511274,77.2485046
3071,28.6522896,77.2507358,28.6512555,77.2501963
3074,28.6511917,77.2522124,28.6511771,77.2512945
3075,28.6599389,77.3107267,28.6445964,77.2994317
3076,28.6432416,77.2689754,28.6436369,77.2687759
3079,28.6520661,77.2666466,28.6513179,77.2599653
3080,28.6146955,77.2890981,28.6242646,77.2822838
3084,28.6473496,77.2685355,28.6480976,77.2681467
3086,28.6526226,77.2658987,28.6542327,77.2648322
3087,28.6509152,77.2534956,28.6512039,77.2529823
3088,28.6521113,77.2661864,28.6526226,77.2658987
3089,28.6440205,77.2963828,28.6439284,77.2951012
3091,28.6439841,77.2986466,28.6435414,77.2687889
3094,28.6506237,77.2539808,28.6491181,77.2532629
3096,28.6512354,77.2549634,28.6506237,77.2539808
3099,28.6513179,77.2599653,28.6511917,77.2522124
3102,28.6523669,77.2515019,28.651525,77.2514485
3105,28.6434373,77.2705742,28.6432307,77.2692435
3106,28.6437089,77.2989544,28.6440205,77.2963828
3109,28.6480976,77.2681467,28.6512042,77.2664499
3110,28.6280498,77.2730028,28.628012,77.2720629
3114,28.67303,77.2819632,28.672738,77.2785008
3117,28.6455832,77.2552665,28.6457935,77.2548102
3118,28.6416154,77.2575664,28.6426653,77.2572811
3119,28.6694367,77.2809508,28.6696833,77.2808914
3121,28.672688,77.2802355,28.67325,77.2801545
3122,28.6727859,77.279942,28.6727262,77.2792669
3125,28.6717823,77.2804003,28.672688,77.2802355
3126,28.6731537,77.2805271,28.6731537,77.2805271
3131,28.6696833,77.2808914,28.6717823,77.2804003
3132,28.6696734,77.2629767,28.6701907,77.2626381
3133,28.6728285,77.2810164,28.6723074,77.2804909
3134,28.6653445,77.254246,28.6649259,77.2538242
3135,28.673452,77.2835916,28.6728217,77.280531
3138,28.6717823,77.2804003,28.6727859,77.279942
3139,28.6703017,77.2648225,28.6690976,77.2626339
3140,28.6650741,77.2531512,28.6663421,77.2526313
3143,28.67325,77.2801545,28.6772662,77.2787795
3144,28.6723727,77.2802163,28.6723674,77.2766108
3149,28.6576729,77.2451869,28.6508483,77.2451036
3151,28.6622731,77.2383327,28.6629519,77.2368747
3153,28.6615182,77.2401848,28.6622731,77.2383327
3154,28.6614119,77.2401166,28.6621947,77.2382778
3155,28.6348524,77.2471507,28.6307557,77.2468965
3156,28.6593855,77.2433667,28.6611494,77.2405844
3158,28.6757556,77.3063025,28.6740593,77.285893
3159,28.6762988,77.3247028,28.6762189,77.3195136
3160,28.672738,77.2785008,28.6725013,77.2387782
3161,28.6759912,77.3132258,28.6757556,77.3063025
3163,28.6740593,77.285893,28.67303,77.2819632
3165,28.6762189,77.3195136,28.6759912,77.3132258
3167,28.6355619,77.2522175,28.631338,77.2472216
3168,28.6756838,77.2971187,28.6734813,77.2837074
3169,28.7043535,77.2560198,28.7043535,77.2560198
3170,28.6580693,77.2483299,28.6593855,77.2433667
3171,28.6216388,77.2850171,28.6211822,77.2850293
3172,28.6530418,77.2929919,28.6525492,77.292791
3173,28.6531498,77.292975,28.6533521,77.2925391
3176,28.6531343,77.2935514,28.6530418,77.2929919
3177,28.7106326,77.2909195,28.7107941,77.2908923
3180,28.7107846,77.291004,28.6866727,77.2920787
3182,28.7107941,77.2908923,28.7884583,77.2772114
3187,28.7385145,77.2611116,28.7045806,77.2562599
3188,28.6577947,77.248402,28.6580693,77.2483299
3191,28.6764493,77.3233077,28.6764493,77.3233077
3194,28.7019044,77.2838102,28.6711693,77.2690762
3196,28.7044058,77.2560967,28.6725238,77.2559486
3197,28.7047611,77.2537944,28.7039216,77.2378947
3200,28.6761222,77.3165027,28.6759288,77.3163131
3202,28.6530418,77.2929919,28.6529529,77.29252
3203,28.6757771,77.3073879,28.67569,77.3063071
3205,28.6759049,77.3032219,28.6733867,77.3032814
3206,28.6759294,77.3162019,28.6761015,77.3159345
3208,28.7015954,77.2841005,28.7011771,77.283724
3213,28.6761322,77.3224669,28.6761851,77.3182159
3215,28.7012334,77.2836,28.7016551,77.2833847
3217,28.7003985,77.29158,28.700916,77.2910295
3218,28.7007837,77.2921536,28.7004016,77.2916846
3220,28.7038399,77.2589064,28.7047611,77.2537944
3222,28.6763486,77.3270248,28.6761666,77.3232711
3225,28.67569,77.3063071,28.6756838,77.2971187
3228,28.7047628,77.2556627,28.7106179,77.2359761
3230,28.7019296,77.2816594,28.7038399,77.2589064
3233,28.7014914,77.2852911,28.7015205,77.2849571
3236,28.6993231,77.302514,28.6995096,77.301034
3238,28.7006882,77.293649,28.7011595,77.2895185
3241,28.7015994,77.2852978,28.7019296,77.2816594
3242,28.7013811,77.2876365,28.7014914,77.2852911
3245,28.7011595,77.2895185,28.7015994,77.2852978
3250,28.6995096,77.301034,28.7006882,77.293649
3252,28.7036067,77.2604951,28.7044058,77.2560967
3253,28.7015205,77.2849571,28.7021485,77.2791341
3255,28.7005259,77.2949027,28.7012835,77.2884655
3259,28.5609738,77.2770027,28.5606101,77.2670419
3266,28.5758655,77.1578205,28.575397,77.1560093
3269,28.5779566,77.1761982,28.5782141,77.1754624
3270,28.5788158,77.1767665,28.5780978,77.1764826
3277,28.5016198,77.2908614,28.4896076,77.2867563
3281,28.4682969,77.1084372,28.467681,77.1083996
3282,28.4345695,77.0494579,28.42771,77.0585156
3284,28.4324598,77.0909414,28.4585561,77.0739792
3286,28.6449655,77.1974092,28.63407,77.189802
3288,28.5844751,77.2533477,28.5836968,77.2530717
3290,28.634056,77.1741381,28.6333971,77.1740422
3291,28.5845307,77.2532355,28.5862674,77.2530756
3292,28.5836968,77.2530717,28.582574,77.2514917
3293,28.5810764,77.2297393,28.6004067,77.2283845
3294,28.5764586,77.229561,28.5679601,77.225544
3295,28.5810603,77.2298564,28.5764586,77.229561
3297,28.5975147,77.211257,28.5972324,77.2112445
3298,28.5793887,77.2220923,28.5790907,77.2219761
3299,28.5970563,77.2408412,28.5954457,77.2405059
3300,28.6274549,77.2860948,28.6214998,77.2847547
3303,28.5847585,77.231512,28.5848434,77.2265453
3304,28.6277185,77.2860142,28.6408644,77.2828769
3308,28.6278195,77.2861007,28.6274549,77.2860948
3312,28.6445964,77.2994317,28.644311,77.2990771
3315,28.644311,77.2990771,28.6439841,77.2986466
3317,28.6727576,77.3033958,28.6531343,77.2935514
3322,28.5759107,77.3033135,28.5797836,77.2994538
3325,28.5653372,77.3185615,28.5652275,77.3177961
3326,28.5540576,77.3272814,28.5546,77.3268784
3328,28.5839004,77.2940997,28.5858022,77.2935231
3331,28.6782488,77.2079976,28.6764313,77.2026717
3337,28.6071341,77.1371751,28.6078235,77.1357732
3339,28.607625,77.1373212,28.607455,77.137068
3341,28.6073923,77.1378462,28.5968483,77.1321624
3343,28.6074885,77.1412621,28.6073923,77.1378462
3345,28.5938573,77.0542011,28.593642,77.0545338
3347,28.6369672,77.0969542,28.6362725,77.095207
3350,28.5632409,77.1228729,28.5611462,77.1196759
3351,28.5632409,77.1228729,28.5664301,77.1219786
3352,28.5536527,77.102598,28.5567257,77.0903792
